time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1641168200,a46b6e,37.74568176269531,-122.22295882854056,81.906529019172,26.08223300313469,6.827520000000001,N384PC  ,False,False,False,,198.12,259.08,1641168199.893,1641168199.893
1641169820,a2af91,47.448833918167374,-122.31797438401443,25.21300488209749,181.16913932790743,-0.32512,SKW3514 ,False,False,False,4775.0,198.12,99.06,1641169414.195,1641169804.063
1641169070,c01970,33.07741326800847,-68.63125548070792,237.6090922522826,348.1305087012426,0.0,ROU1833 ,False,False,False,,10363.2,10805.16,1641169038.129,1641169038.129
1641170390,407b8b,50.56768798828125,0.7216282894736842,171.25731813116963,319.9960981554134,-5.8521600000000005,WUK1823 ,False,False,False,4027.0,9646.92,9540.24,1641170389.853,1641170389.99
1641169590,a773c2,,,145.75479579977508,61.08288979420874,0.32512,N58CA   ,False,False,False,,,,,1641169589.54
1641169340,424344,57.36771923000529,82.04501244329637,239.5044858759674,109.44686144312222,-4.8768,AFL1530 ,False,False,False,,10248.9,9768.84,1641169312.203,1641169313.807
1641170490,76cda2,,,79.30450856532624,22.90576965841719,13.32992,,False,False,False,2245.0,281.94,274.32,,1641170488.742
1641168720,aba821,42.315032958984375,-84.54722317782318,267.95422058013827,82.16547466282356,0.32512,N850JA  ,False,False,False,7747.0,12496.8,12329.160000000002,1641168719.978,1641168719.986
1641168220,abe1c2,26.95687866210937,-85.1719751897848,243.1312634027491,357.0891621738322,0.0,DAL2013 ,False,False,False,,10668.0,11178.54,1641168219.939,1641168219.939
1641169940,4248e5,53.16883850097656,51.44614955357143,245.15294318138268,114.68276873406724,-0.32512,SDM6395 ,False,False,False,725.0,10652.76,10058.4,1641169939.653,1641169939.653
1641168130,aaadf8,28.87602725271451,-83.30970315372241,225.97446789219808,162.1012811169135,0.0,SWA234  ,False,False,False,,10058.4,10507.98,1641168129.981,1641168129.981
1641170730,a4996b,40.047271728515625,-104.68487548828124,111.1210948362117,180.265256343376,-6.827520000000001,DAL2154 ,False,False,False,3542.0,2491.74,2552.7000000000003,1641170729.896,1641170729.975
1641169460,e48160,-23.42922921908104,-46.69626871744788,92.29217122130218,126.61439976520283,-3.2512000000000003,GLO1329 ,False,False,False,,1805.94,1882.14,1641169444.791,1641169444.792
1641169340,ac148f,,,214.92679800321315,300.4933584024757,0.0,FDX197  ,False,False,False,,,,,1641169335.279
1641169320,e48854,-23.470001220703125,-46.60195645419034,75.5409821847084,73.78661831001403,-3.90144,GLO1527 ,False,False,False,,1379.22,1470.66,1641169049.646,1641169049.646
1641169330,7c6b2f,-30.007432840638277,152.12845458984376,265.19226440112595,45.39296900620115,-12.35456,JST464  ,False,False,False,1334.0,9098.28,9578.34,1641169329.898,1641169329.898
1641171140,0a8040,32.943695068359375,-83.53377685546872,197.901197508555,315.63191312182096,-5.20192,GGT60   ,False,False,False,7403.0,6217.92,6370.32,1641171139.824,1641171139.928
1641169810,a19ae0,40.373382568359375,-96.87738037109376,220.80916922332767,252.7893140544495,0.0,EJA202  ,False,False,False,5767.0,11582.4,11544.3,1641169809.902,1641169809.979
1641168250,4064a4,48.635962534759,5.995933131167763,185.40907193652217,307.2196455628672,0.32512,TOM523  ,False,False,False,7520.0,10972.8,10965.18,1641168249.835,1641168249.998
1641171080,4bb14c,22.304480601165253,113.3935038248698,201.75782732624813,140.58724396420436,-9.10336,THY6490 ,False,False,False,3413.0,11277.6,6530.34,1641170993.459,1641171048.358
1641168010,a91986,40.17233276367188,-76.50677490234375,235.3006345630367,98.80330564072938,-10.07872,PDT6176 ,False,False,False,6557.0,4823.46,4792.9800000000005,1641168009.962,1641168010.0
1641170310,a00494,35.02120195809057,-116.16016387939452,225.1954738614199,225.83299787293737,-9.42848,N10YU   ,False,False,False,701.0,10088.88,10264.14,1641170308.139,1641170308.139
1641169540,a05f95,35.41093729310116,-80.93639617270611,268.5062580624753,49.351077951573885,-0.65024,RPA4642 ,False,False,False,5732.0,9448.8,9685.02,1641169539.981,1641169539.981
1641170430,a8ca46,42.5921630859375,-76.13487937233663,68.60646477689811,8.190861376463381,0.65024,N6658K  ,False,False,False,,1524.0,1432.56,1641170427.054,1641170427.054
1641170920,a10bbc,35.43846130371094,-101.99403762817384,219.41926153948685,313.57502572748456,0.0,AAL2009 ,False,False,False,6211.0,10355.58,10530.84,1641170858.7,1641170917.918
1641168310,e495b1,,,220.89305236058283,226.60424004222085,-0.32512,AZU4213 ,False,False,False,,,,,1641168309.429
1641168020,a62d26,32.96703791214248,-116.86712148238202,47.78794342524633,345.66456458047986,-2.27584,N4975F  ,False,False,False,,853.44,906.78,1641168019.193,1641168019.193
1641169540,4cc2a5,43.5869533732786,-98.99185180664062,240.31198514382623,51.780772473068566,0.0,ICE24T  ,False,False,False,,11277.6,11140.44,1641169538.792,1641169539.702
1641170330,a8bf73,36.135589599609375,-120.34149169921876,240.85320921847065,136.0384804578201,5.8521600000000005,AAL2059 ,False,False,False,3307.0,9624.06,9784.080000000002,1641170329.181,1641170329.407
1641169970,ab9448,30.939687955177437,-99.3234924316406,267.51978369028865,107.11082960232416,-4.8768,ASA1206 ,False,False,False,510.0,8618.220000000001,8877.300000000001,1641169968.661,1641169969.862
1641169970,7813b7,22.860809326171875,113.74569979580968,185.46401863651596,354.74801633561884,0.32512,EPA6305 ,False,False,False,616.0,4511.04,4739.64,1641169948.483,1641169951.94
1641168990,780e4f,26.74672789492849,106.46681565504808,256.709617891519,127.09953881904066,0.0,CSC8763 ,False,False,False,1537.0,10081.26,10370.82,1641168859.766,1641168860.518
1641170760,4242dc,57.084503173828125,87.78067588806152,253.804481017045,113.91532225997,0.0,AFL1484 ,False,False,False,,10668.0,10119.36,1641170759.739,1641170759.739
1641168490,a0405c,37.799998137910485,-122.33700296153194,60.19214643848348,288.434948822922,1.30048,N115SF  ,False,False,False,,152.4,213.36,1641168489.713,1641168489.827
1641169030,a5a654,41.04920468087924,-90.86380004882812,247.89849484925253,82.72750449285866,-8.128,N463SD  ,False,False,False,1452.0,7764.780000000001,7665.72,1641169029.509,1641169029.509
1641171240,78115b,56.56315690380031,87.9411792755127,199.7858358869148,289.08812973756136,0.0,CCA567  ,False,False,False,,10972.8,10424.160000000002,1641171239.814,1641171239.91
1641170560,a85f29,32.96571350097656,-87.89567871093749,187.060355678253,247.5255862635494,0.32512,UAL282  ,False,False,False,7147.0,10363.2,10500.36,1641170559.849,1641170559.849
1641169760,a22778,30.6558837890625,-83.29564711626841,248.8048188252897,349.15474330306915,-0.32512,AAY2600 ,False,False,False,7666.0,10980.42,11437.62,1641169759.586,1641169759.586
1641168320,abdd64,33.66257489737818,-80.37317276000977,159.98546722008837,159.87522837787836,-8.128,ASH6073 ,False,False,False,6210.0,4175.76,4480.56,1641168238.662,1641168250.433
1641171100,aa56d8,34.482421875,-77.44935327646681,195.0557013194449,198.2915902075389,0.0,UAL2244 ,False,False,False,2716.0,10972.8,11308.080000000002,1641171099.779,1641171099.81
1641171430,7c68a5,-39.219422421212926,143.37213134765625,215.21043971412183,317.6157548754219,0.32512,QFA1981 ,False,False,False,3635.0,11582.4,11910.06,1641171429.917,1641171429.917
1641169830,800fd0,28.5668040130098,77.09647683536305,,,,VTIUH   ,True,False,False,,,,1641169783.844,1641169783.844
1641170610,8964a3,28.88671875,52.108207115760216,258.40148804864594,154.40424174864495,0.32512,UAE182  ,False,False,False,,11277.6,11529.06,1641170584.728,1641170585.434
1641169070,c026dc,48.81861877441406,-123.59316312349762,38.74415713961774,259.286876977209,-3.5763200000000004,CFOSP   ,False,False,False,1200.0,243.84,129.54,1641168914.919,1641168916.172
1641169640,a88819,41.01837158203125,-73.6695556640625,45.880791319982094,329.697319279512,-2.60096,EJA649  ,False,False,False,2425.0,327.66,403.86000000000007,1641169569.569,1641169618.36
1641171360,aa05f6,33.12835693359375,-117.27949218749998,47.62429035372097,259.4183644790562,0.32512,N745JS  ,False,False,False,,30.48,60.96,1641171178.961,1641171324.681
